short line: Testbench for P8AX32

Opcode RDBYTE not found on both tests
Opcode RDWORD not found on both tests
Opcode RDLONG not found on both tests
Opcode HUBOP not found on both tests
Opcode UNDEF0 not found on both tests
Opcode UNDEF1 not found on both tests
Opcode UNDEF2 not found on both tests
Opcode UNDEF3 not found on both tests
MOVS 00000001 00000000 00 00000000 00000000 00 10
MOVS 00000001 00000000 10 00000000 00000000 00 10
MOVS 00000001 00000000 01 00000000 00000000 00 10
MOVS 00000001 00000000 11 00000000 00000000 00 10
MOVS 00000002 00000000 00 00000000 00000000 00 10
MOVS 00000002 00000000 10 00000000 00000000 00 10
MOVS 00000002 00000000 01 00000000 00000000 00 10
MOVS 00000002 00000000 11 00000000 00000000 00 10
MOVS 00000000 00000001 00 00000001 00000001 11 01
MOVS 00000000 00000001 10 00000001 00000001 11 01
MOVS 00000000 00000001 01 00000001 00000001 11 01
MOVS 00000000 00000001 11 00000001 00000001 11 01
MOVS 00000000 00000002 00 00000002 00000002 11 01
MOVS 00000000 00000002 10 00000002 00000002 11 01
MOVS 00000000 00000002 01 00000002 00000002 11 01
MOVS 00000000 00000002 11 00000002 00000002 11 01
MOVS 00000000 7fffffff 00 000001ff 000001ff 11 01
MOVS 00000000 7fffffff 10 000001ff 000001ff 11 01
MOVS 00000000 7fffffff 01 000001ff 000001ff 11 01
MOVS 00000000 7fffffff 11 000001ff 000001ff 11 01
MOVS 00000001 80000000 00 00000000 00000000 01 11
MOVS 00000001 80000000 10 00000000 00000000 01 11
MOVS 00000001 80000000 01 00000000 00000000 01 11
MOVS 00000001 80000000 11 00000000 00000000 01 11
MOVS 00000002 80000000 00 00000000 00000000 01 11
MOVS 00000002 80000000 10 00000000 00000000 01 11
MOVS 00000002 80000000 01 00000000 00000000 01 11
MOVS 00000002 80000000 11 00000000 00000000 01 11
MOVS 00000000 80000001 00 00000001 00000001 11 01
MOVS 00000000 80000001 10 00000001 00000001 11 01
MOVS 00000000 80000001 01 00000001 00000001 11 01
MOVS 00000000 80000001 11 00000001 00000001 11 01
MOVS 00000000 fffffffe 00 000001fe 000001fe 11 01
MOVS 00000000 fffffffe 10 000001fe 000001fe 11 01
MOVS 00000000 fffffffe 01 000001fe 000001fe 11 01
MOVS 00000000 fffffffe 11 000001fe 000001fe 11 01
MOVS 00000000 ffffffff 00 000001ff 000001ff 11 01
MOVS 00000000 ffffffff 10 000001ff 000001ff 11 01
MOVS 00000000 ffffffff 01 000001ff 000001ff 11 01
MOVS 00000000 ffffffff 11 000001ff 000001ff 11 01
MOVD 00000000 00000001 00 00000200 00000200 11 01
MOVD 00000000 00000001 10 00000200 00000200 11 01
