VCD info: dumpfile tb_alu.vcd opened for output.
ROR     ---D---- ---S---- ZC = ---Q---- ZC
        00000000 00000000 00 = 00000000 10
        00000000 00000000 10 = 00000000 10
        00000000 00000000 01 = 00000000 10
        00000000 00000000 11 = 00000000 10
        00000001 00000000 00 = 00000001 01
        00000001 00000000 10 = 00000001 01
        00000001 00000000 01 = 00000001 01
        00000001 00000000 11 = 00000001 01
        00000002 00000000 00 = 00000002 00
        00000002 00000000 10 = 00000002 00
        00000002 00000000 01 = 00000002 00
        00000002 00000000 11 = 00000002 00
        7fffffff 00000000 00 = 7fffffff 01
        7fffffff 00000000 10 = 7fffffff 01
        7fffffff 00000000 01 = 7fffffff 01
        7fffffff 00000000 11 = 7fffffff 01
        80000000 00000000 00 = 80000000 00
        80000000 00000000 10 = 80000000 00
        80000000 00000000 01 = 80000000 00
        80000000 00000000 11 = 80000000 00
        80000001 00000000 00 = 80000001 01
        80000001 00000000 10 = 80000001 01
        80000001 00000000 01 = 80000001 01
        80000001 00000000 11 = 80000001 01
        fffffffe 00000000 00 = fffffffe 00
        fffffffe 00000000 10 = fffffffe 00
        fffffffe 00000000 01 = fffffffe 00
        fffffffe 00000000 11 = fffffffe 00
        ffffffff 00000000 00 = ffffffff 01
        ffffffff 00000000 10 = ffffffff 01
        ffffffff 00000000 01 = ffffffff 01
        ffffffff 00000000 11 = ffffffff 01
        00000000 00000001 00 = 00000000 10
        00000000 00000001 10 = 00000000 10
        00000000 00000001 01 = 00000000 10
        00000000 00000001 11 = 00000000 10
        00000001 00000001 00 = 80000000 01
        00000001 00000001 10 = 80000000 01
        00000001 00000001 01 = 80000000 01
        00000001 00000001 11 = 80000000 01
        00000002 00000001 00 = 00000001 00
        00000002 00000001 10 = 00000001 00
        00000002 00000001 01 = 00000001 00
        00000002 00000001 11 = 00000001 00
        7fffffff 00000001 00 = bfffffff 01
        7fffffff 00000001 10 = bfffffff 01
        7fffffff 00000001 01 = bfffffff 01
        7fffffff 00000001 11 = bfffffff 01
        80000000 00000001 00 = 40000000 00
        80000000 00000001 10 = 40000000 00
        80000000 00000001 01 = 40000000 00
        80000000 00000001 11 = 40000000 00
        80000001 00000001 00 = c0000000 01
        80000001 00000001 10 = c0000000 01
        80000001 00000001 01 = c0000000 01
        80000001 00000001 11 = c0000000 01
        fffffffe 00000001 00 = 7fffffff 00
        fffffffe 00000001 10 = 7fffffff 00
        fffffffe 00000001 01 = 7fffffff 00
        fffffffe 00000001 11 = 7fffffff 00
        ffffffff 00000001 00 = ffffffff 01
        ffffffff 00000001 10 = ffffffff 01
        ffffffff 00000001 01 = ffffffff 01
        ffffffff 00000001 11 = ffffffff 01
        00000000 00000002 00 = 00000000 10
        00000000 00000002 10 = 00000000 10
        00000000 00000002 01 = 00000000 10
        00000000 00000002 11 = 00000000 10
        00000001 00000002 00 = 40000000 01
        00000001 00000002 10 = 40000000 01
        00000001 00000002 01 = 40000000 01
        00000001 00000002 11 = 40000000 01
        00000002 00000002 00 = 80000000 00
        00000002 00000002 10 = 80000000 00
        00000002 00000002 01 = 80000000 00
        00000002 00000002 11 = 80000000 00
        7fffffff 00000002 00 = dfffffff 01
        7fffffff 00000002 10 = dfffffff 01
        7fffffff 00000002 01 = dfffffff 01
        7fffffff 00000002 11 = dfffffff 01
        80000000 00000002 00 = 20000000 00
        80000000 00000002 10 = 20000000 00
        80000000 00000002 01 = 20000000 00
        80000000 00000002 11 = 20000000 00
        80000001 00000002 00 = 60000000 01
        80000001 00000002 10 = 60000000 01
        80000001 00000002 01 = 60000000 01
        80000001 00000002 11 = 60000000 01
        fffffffe 00000002 00 = bfffffff 00
        fffffffe 00000002 10 = bfffffff 00
        fffffffe 00000002 01 = bfffffff 00
        fffffffe 00000002 11 = bfffffff 00
        ffffffff 00000002 00 = ffffffff 01
        ffffffff 00000002 10 = ffffffff 01
        ffffffff 00000002 01 = ffffffff 01
        ffffffff 00000002 11 = ffffffff 01
        00000000 7fffffff 00 = 00000000 10
        00000000 7fffffff 10 = 00000000 10
        00000000 7fffffff 01 = 00000000 10
        00000000 7fffffff 11 = 00000000 10
        00000001 7fffffff 00 = 00000002 01
        00000001 7fffffff 10 = 00000002 01
        00000001 7fffffff 01 = 00000002 01
        00000001 7fffffff 11 = 00000002 01
        00000002 7fffffff 00 = 00000004 00
        00000002 7fffffff 10 = 00000004 00
        00000002 7fffffff 01 = 00000004 00
        00000002 7fffffff 11 = 00000004 00
        7fffffff 7fffffff 00 = fffffffe 01
        7fffffff 7fffffff 10 = fffffffe 01
        7fffffff 7fffffff 01 = fffffffe 01
        7fffffff 7fffffff 11 = fffffffe 01
        80000000 7fffffff 00 = 00000001 00
        80000000 7fffffff 10 = 00000001 00
        80000000 7fffffff 01 = 00000001 00
        80000000 7fffffff 11 = 00000001 00
        80000001 7fffffff 00 = 00000003 01
        80000001 7fffffff 10 = 00000003 01
        80000001 7fffffff 01 = 00000003 01
        80000001 7fffffff 11 = 00000003 01
        fffffffe 7fffffff 00 = fffffffd 00
        fffffffe 7fffffff 10 = fffffffd 00
        fffffffe 7fffffff 01 = fffffffd 00
        fffffffe 7fffffff 11 = fffffffd 00
        ffffffff 7fffffff 00 = ffffffff 01
        ffffffff 7fffffff 10 = ffffffff 01
        ffffffff 7fffffff 01 = ffffffff 01
        ffffffff 7fffffff 11 = ffffffff 01
        00000000 80000000 00 = 00000000 10
        00000000 80000000 10 = 00000000 10
        00000000 80000000 01 = 00000000 10
        00000000 80000000 11 = 00000000 10
        00000001 80000000 00 = 00000001 01
        00000001 80000000 10 = 00000001 01
        00000001 80000000 01 = 00000001 01
        00000001 80000000 11 = 00000001 01
        00000002 80000000 00 = 00000002 00
        00000002 80000000 10 = 00000002 00
        00000002 80000000 01 = 00000002 00
        00000002 80000000 11 = 00000002 00
        7fffffff 80000000 00 = 7fffffff 01
        7fffffff 80000000 10 = 7fffffff 01
        7fffffff 80000000 01 = 7fffffff 01
        7fffffff 80000000 11 = 7fffffff 01
        80000000 80000000 00 = 80000000 00
        80000000 80000000 10 = 80000000 00
        80000000 80000000 01 = 80000000 00
        80000000 80000000 11 = 80000000 00
        80000001 80000000 00 = 80000001 01
        80000001 80000000 10 = 80000001 01
        80000001 80000000 01 = 80000001 01
        80000001 80000000 11 = 80000001 01
        fffffffe 80000000 00 = fffffffe 00
        fffffffe 80000000 10 = fffffffe 00
        fffffffe 80000000 01 = fffffffe 00
        fffffffe 80000000 11 = fffffffe 00
        ffffffff 80000000 00 = ffffffff 01
        ffffffff 80000000 10 = ffffffff 01
        ffffffff 80000000 01 = ffffffff 01
        ffffffff 80000000 11 = ffffffff 01
        00000000 80000001 00 = 00000000 10
        00000000 80000001 10 = 00000000 10
        00000000 80000001 01 = 00000000 10
        00000000 80000001 11 = 00000000 10
        00000001 80000001 00 = 80000000 01
        00000001 80000001 10 = 80000000 01
        00000001 80000001 01 = 80000000 01
        00000001 80000001 11 = 80000000 01
        00000002 80000001 00 = 00000001 00
        00000002 80000001 10 = 00000001 00
        00000002 80000001 01 = 00000001 00
        00000002 80000001 11 = 00000001 00
        7fffffff 80000001 00 = bfffffff 01
