ROR   ---Q---- CZ
00 08 00000000 01
01 08 00000000 01
02 08 00000000 01
03 08 00000000 01
04 08 00000001 10
05 08 00000001 10
06 08 00000001 10
07 08 00000001 10
08 08 00000002 00
09 08 00000002 00
0a 08 00000002 00
0b 08 00000002 00
0c 08 7fffffff 10
0d 08 7fffffff 10
0e 08 7fffffff 10
0f 08 7fffffff 10
10 08 80000000 00
11 08 80000000 00
12 08 80000000 00
13 08 80000000 00
14 08 80000001 10
15 08 80000001 10
16 08 80000001 10
17 08 80000001 10
18 08 fffffffe 00
19 08 fffffffe 00
1a 08 fffffffe 00
1b 08 fffffffe 00
1c 08 ffffffff 10
1d 08 ffffffff 10
1e 08 ffffffff 10
1f 08 ffffffff 10
20 08 00000000 01
21 08 00000000 01
22 08 00000000 01
23 08 00000000 01
24 08 80000000 10
25 08 80000000 10
26 08 80000000 10
27 08 80000000 10
28 08 00000001 00
29 08 00000001 00
2a 08 00000001 00
2b 08 00000001 00
2c 08 bfffffff 10
2d 08 bfffffff 10
2e 08 bfffffff 10
2f 08 bfffffff 10
30 08 40000000 00
31 08 40000000 00
32 08 40000000 00
33 08 40000000 00
34 08 c0000000 10
35 08 c0000000 10
36 08 c0000000 10
37 08 c0000000 10
38 08 7fffffff 00
39 08 7fffffff 00
3a 08 7fffffff 00
3b 08 7fffffff 00
3c 08 ffffffff 10
3d 08 ffffffff 10
3e 08 ffffffff 10
3f 08 ffffffff 10
40 08 00000000 01
41 08 00000000 01
42 08 00000000 01
43 08 00000000 01
44 08 40000000 10
45 08 40000000 10
46 08 40000000 10
47 08 40000000 10
48 08 80000000 00
49 08 80000000 00
4a 08 80000000 00
4b 08 80000000 00
4c 08 dfffffff 10
4d 08 dfffffff 10
4e 08 dfffffff 10
4f 08 dfffffff 10
50 08 20000000 00
51 08 20000000 00
52 08 20000000 00
53 08 20000000 00
54 08 60000000 10
55 08 60000000 10
56 08 60000000 10
57 08 60000000 10
58 08 bfffffff 00
59 08 bfffffff 00
5a 08 bfffffff 00
5b 08 bfffffff 00
5c 08 ffffffff 10
5d 08 ffffffff 10
5e 08 ffffffff 10
5f 08 ffffffff 10
60 08 00000000 01
61 08 00000000 01
62 08 00000000 01
63 08 00000000 01
64 08 00000002 10
65 08 00000002 10
66 08 00000002 10
67 08 00000002 10
68 08 00000004 00
69 08 00000004 00
6a 08 00000004 00
6b 08 00000004 00
6c 08 fffffffe 10
6d 08 fffffffe 10
6e 08 fffffffe 10
6f 08 fffffffe 10
70 08 00000001 00
71 08 00000001 00
72 08 00000001 00
73 08 00000001 00
74 08 00000003 10
75 08 00000003 10
76 08 00000003 10
77 08 00000003 10
78 08 fffffffd 00
79 08 fffffffd 00
7a 08 fffffffd 00
7b 08 fffffffd 00
7c 08 ffffffff 10
7d 08 ffffffff 10
7e 08 ffffffff 10
7f 08 ffffffff 10
80 08 00000000 01
81 08 00000000 01
82 08 00000000 01
83 08 00000000 01
84 08 00000001 10
85 08 00000001 10
86 08 00000001 10
87 08 00000001 10
88 08 00000002 00
89 08 00000002 00
8a 08 00000002 00
8b 08 00000002 00
8c 08 7fffffff 10
8d 08 7fffffff 10
8e 08 7fffffff 10
8f 08 7fffffff 10
90 08 80000000 00
91 08 80000000 00
92 08 80000000 00
93 08 80000000 00
94 08 80000001 10
95 08 80000001 10
96 08 80000001 10
97 08 80000001 10
98 08 fffffffe 00
99 08 fffffffe 00
9a 08 fffffffe 00
9b 08 fffffffe 00
9c 08 ffffffff 10
9d 08 ffffffff 10
9e 08 ffffffff 10
9f 08 ffffffff 10
a0 08 00000000 01
a1 08 00000000 01
a2 08 00000000 01
a3 08 00000000 01
a4 08 80000000 10
a5 08 80000000 10
a6 08 80000000 10
a7 08 80000000 10
a8 08 00000001 00
a9 08 00000001 00
aa 08 00000001 00
ab 08 00000001 00
ac 08 bfffffff 10
ad 08 bfffffff 10
ae 08 bfffffff 10
af 08 bfffffff 10
b0 08 40000000 00
b1 08 40000000 00
b2 08 40000000 00
b3 08 40000000 00
b4 08 c0000000 10
b5 08 c0000000 10
b6 08 c0000000 10
b7 08 c0000000 10
b8 08 7fffffff 00
b9 08 7fffffff 00
ba 08 7fffffff 00
bb 08 7fffffff 00
bc 08 ffffffff 10
bd 08 ffffffff 10
be 08 ffffffff 10
